panel	row_type	measure	surface_family	surface	direction	direction_label	coefficient	interval	estimate	ci95_low	ci95_high	n_task_families	bootstrap_draws	numerator	denominator	units	ci_method	source	run_id	note
1A	temporal_contrast	earlier_only_logit_margin_shift	semantic		welfare_raw	Transferred direction	0.5	long	0.046875	0.00390625	0.08984375	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1A	temporal_contrast	readout_only_logit_margin_shift	semantic		welfare_raw	Transferred direction	0.5	long	4	3.875	4.14453125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1A	temporal_contrast	earlier_only_logit_margin_shift	opaque		welfare_raw	Transferred direction	0.5	long	0.12890625	0.099609375	0.158203125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1A	temporal_contrast	readout_only_logit_margin_shift	opaque		welfare_raw	Transferred direction	0.5	long	2.310546875	2.216796875	2.40234375	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1B	projection	dose_site_projection_shift	semantic		welfare_raw	Transferred direction	0.5	long	22.2892129421	22.2623294592	22.3160964251	16	10000			unit-normalized layer-30 projection	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1B	projection	final_unsteered_projection_shift	semantic		welfare_raw	Transferred direction	0.5	long	-0.0166037082672	-0.0256442442536	-0.00711554288864	16	10000			unit-normalized layer-30 projection	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1B	projection	dose_site_projection_shift	opaque		welfare_raw	Transferred direction	0.5	long	22.2927145958	22.2690718174	22.3163573742	16	10000			unit-normalized layer-30 projection	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1B	projection	final_unsteered_projection_shift	opaque		welfare_raw	Transferred direction	0.5	long	-0.00716376304626	-0.0131867259741	-0.00119177773595	16	10000			unit-normalized layer-30 projection	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
1C	clean_margin	clean_semantic_margin	semantic	status_semantic	welfare_raw	Transferred direction	0	short_and_long	16.9921875	16.35546875	17.63671875	16	10000			logits	95% percentile bootstrap clustered on task family	records.jsonl	temporal-welfare-locus-full-20260815T193114Z	0/0 baseline: earlier coefficient 0 and readout coefficient 0.
1C	clean_margin	clean_semantic_margin	semantic	persistence_semantic	welfare_raw	Transferred direction	0	short_and_long	29.171875	28.65625	29.62890625	16	10000			logits	95% percentile bootstrap clustered on task family	records.jsonl	temporal-welfare-locus-full-20260815T193114Z	0/0 baseline: earlier coefficient 0 and readout coefficient 0.
1C	clean_margin	clean_semantic_margin	semantic	semantic_pooled	welfare_raw	Transferred direction	0	short_and_long	23.08203125	22.6737792969	23.45703125	16	10000			logits	95% percentile bootstrap clustered on task family	records.jsonl	temporal-welfare-locus-full-20260815T193114Z	0/0 baseline: earlier coefficient 0 and readout coefficient 0.
1C	strict_sign_crossing_rate	readout_pair_strict_sign_crossing_rate	semantic		welfare_raw	Transferred direction	0.5	short_and_long	0	0	0	16	10000	0	64	proportion of task-by-interval-by-surface cells	95% percentile bootstrap clustered on task family	records.jsonl	temporal-welfare-locus-full-20260815T193114Z	Strict sign change: negative- and positive-readout endpoints have product below zero.
1C	strict_sign_crossing_rate	readout_pair_strict_sign_crossing_rate	opaque		welfare_raw	Transferred direction	0.5	short_and_long	0.0078125	0	0.0234375	16	10000	1	128	proportion of task-by-interval-by-surface cells	95% percentile bootstrap clustered on task family	records.jsonl	temporal-welfare-locus-full-20260815T193114Z	Strict sign change: negative- and positive-readout endpoints have product below zero.
