panel	row_type	measure	surface_family	surface	direction	direction_label	coefficient	interval	estimate	ci95_low	ci95_high	n_task_families	bootstrap_draws	numerator	denominator	units	ci_method	source	run_id	note
2A	dose_response	readout_only_logit_margin_shift	semantic		welfare_raw	Transferred direction	0.25	long	1.96875	1.90625	2.0390625	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2A	dose_response	readout_only_logit_margin_shift	semantic		welfare_raw	Transferred direction	0.5	long	4	3.875	4.14453125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2A	dose_response	readout_only_logit_margin_shift	semantic		welfare_raw	Transferred direction	1	long	7.796875	7.58203125	8.041015625	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2A	dose_response	readout_only_logit_margin_shift	opaque		welfare_raw	Transferred direction	0.25	long	1.0546875	1.001953125	1.111328125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2A	dose_response	readout_only_logit_margin_shift	opaque		welfare_raw	Transferred direction	0.5	long	2.310546875	2.216796875	2.40234375	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2A	dose_response	readout_only_logit_margin_shift	opaque		welfare_raw	Transferred direction	1	long	4.591796875	4.42578125	4.76953125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2B	reversed_code_decomposition	readout_semantic_binding	opaque	opaque_status	welfare_raw	Transferred direction	0.5	long	2.8828125	2.75	3.01953125	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2B	reversed_code_decomposition	readout_fixed_token_bias	opaque	opaque_status	welfare_raw	Transferred direction	0.5	long	0.0859375	-0.0703125	0.2421875	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2B	reversed_code_decomposition	readout_semantic_binding	opaque	opaque_persistence	welfare_raw	Transferred direction	0.5	long	1.73828125	1.61328125	1.85546875	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2B	reversed_code_decomposition	readout_fixed_token_bias	opaque	opaque_persistence	welfare_raw	Transferred direction	0.5	long	0.39453125	0.28125	0.53515625	16	10000			logits	95% percentile bootstrap clustered on task family	analysis-summary.json	temporal-welfare-locus-full-20260815T193114Z	
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	functional_welfare_raw	Target	0.5	active_answer_boundary	0.125			8	0	8	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/repaired-semantic-choice-validation-v4c-20260816T174042Z/summary.json	repaired-semantic-choice-validation-v4c-20260816T174042Z	NF4 precision; row-backed V4-C records; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	functional_welfare_raw	Target	1	active_answer_boundary	0.203125			8	0	13	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/repaired-semantic-choice-validation-v4c-20260816T174042Z/summary.json	repaired-semantic-choice-validation-v4c-20260816T174042Z	NF4 precision; row-backed V4-C records; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	path_direct	Path	1.19409787598	active_answer_boundary	0.296875			8	0	19	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/repaired-semantic-choice-validation-v4c-20260816T174042Z/summary.json	repaired-semantic-choice-validation-v4c-20260816T174042Z	NF4 precision; row-backed V4-C records; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	random_orthogonal_01	Orthogonal 01	1.52721411782	active_answer_boundary	0.203125			8	0	13	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/repaired-semantic-choice-validation-v4c-20260816T174042Z/summary.json	repaired-semantic-choice-validation-v4c-20260816T174042Z	NF4 precision; row-backed V4-C records; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	functional_welfare_raw	Target	0.5	active_answer_boundary	0.140625			8	0	9	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/qwen-bf16-semantic-choice-hf-job-6a81fdb8c97db76cbdf33362/records.jsonl	huggingface-job-6a81fdb8c97db76cbdf33362	BF16 precision; row-backed by all 448 records losslessly reassembled from wrapped hosted-log transport; canonical records SHA-256 e3f7f45e115e28f830c66a157b5c86b48fa3c3f233607c1dc871a626d1c3c52f; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	functional_welfare_raw	Target	1	active_answer_boundary	0.265625			8	0	17	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/qwen-bf16-semantic-choice-hf-job-6a81fdb8c97db76cbdf33362/records.jsonl	huggingface-job-6a81fdb8c97db76cbdf33362	BF16 precision; row-backed by all 448 records losslessly reassembled from wrapped hosted-log transport; canonical records SHA-256 e3f7f45e115e28f830c66a157b5c86b48fa3c3f233607c1dc871a626d1c3c52f; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
2C	unrestricted_winner_switching	minus_to_plus_unrestricted_winner_switch_rate	semantic	majority_rule_continue_stop	path_direct	Path	1.19409787598	active_answer_boundary	0.328125			8	0	21	64	fraction of cases	not shown; exact count over the fixed 64-case cohort	experiments/runs/qwen-bf16-semantic-choice-hf-job-6a81fdb8c97db76cbdf33362/records.jsonl	huggingface-job-6a81fdb8c97db76cbdf33362	BF16 precision; row-backed by all 448 records losslessly reassembled from wrapped hosted-log transport; canonical records SHA-256 e3f7f45e115e28f830c66a157b5c86b48fa3c3f233607c1dc871a626d1c3c52f; all cases have STOP ground truth. Switching is causal actuation, not evidence of generally beneficial or rational improvement; n_task_families=8 is the legacy-schema field for eight permutation clusters, not lexical families.
